Time(h)	pH
0.038611111	7.55
0.038888889	7.55
0.039166667	7.55
0.039444444	7.55
0.039722222	7.55
0.04	7.55
0.040277778	7.55
0.040555556	7.55
0.040833333	7.55
0.041111111	7.55
0.041388889	7.55
0.041666667	7.55
0.041944444	7.55
0.042222222	7.55
0.0425	7.55
0.042777778	7.55
0.043055556	7.55
0.043333333	7.55
0.043611111	7.55
0.043888889	7.55
0.044166667	7.55
0.044444444	7.55
0.044722222	7.55
0.045	7.55
0.045277778	7.56
0.045555556	7.55
0.045833333	7.55
0.046111111	7.55
0.046388889	7.55
0.046666667	7.55
0.046944444	7.55
0.047222222	7.55
0.0475	7.55
0.047777778	7.55
0.048055556	7.55
0.048333333	7.55
0.048611111	7.55
0.048888889	7.55
0.049166667	7.55
0.049444444	7.55
0.049722222	7.55
0.05	7.56
0.050277778	7.55
0.050555556	7.56
0.050833333	7.55
0.051111111	7.56
0.051388889	7.55
0.051666667	7.56
0.051944444	7.55
0.052222222	7.56
0.0525	7.55
0.052777778	7.56
0.053055556	7.56
0.053333333	7.56
0.053611111	7.56
0.053888889	7.56
0.054166667	7.55
0.054444444	7.56
0.054722222	7.56
0.055	7.56
0.055277778	7.56
0.055555556	7.56
0.055833333	7.55
0.056111111	7.56
0.056388889	7.56
0.056666667	7.56
0.056944444	7.56
0.057222222	7.56
0.0575	7.55
0.057777778	7.56
0.058055556	7.56
0.058333333	7.56
0.058611111	7.56
0.058888889	7.56
0.059166667	7.56
0.059444444	7.56
0.059722222	7.56
0.06	7.56
0.060277778	7.56
0.060555556	7.56
0.060833333	7.56
0.061111111	7.56
0.061388889	7.56
0.061666667	7.56
0.061944444	7.56
0.062222222	7.56
0.0625	7.56
0.062777778	7.56
0.063055556	7.56
0.063333333	7.56
0.063611111	7.56
0.063888889	7.56
0.064166667	7.56
0.064444444	7.56
0.064722222	7.56
0.065	7.56
0.065277778	7.56
0.065555556	7.56
0.065833333	7.56
0.066111111	7.56
0.066388889	7.56
0.066666667	7.56
0.066944444	7.56
0.067222222	7.56
0.0675	7.56
0.067777778	7.56
0.068055556	7.56
0.068333333	7.56
0.068611111	7.56
0.068888889	7.56
0.069166667	7.55
0.069444444	7.56
0.069722222	7.56
0.07	7.56
0.070277778	7.55
0.070555556	7.56
0.070833333	7.55
0.071111111	7.56
0.071388889	7.56
0.071666667	7.56
0.071944444	7.56
0.072222222	7.56
0.0725	7.55
0.072777778	7.56
0.073055556	7.56
0.073333333	7.56
0.073611111	7.56
0.073888889	7.56
0.074166667	7.56
0.074444444	7.56
0.074722222	7.56
0.075	7.56
0.075277778	7.56
0.075555556	7.56
0.075833333	7.55
0.076111111	7.56
0.076388889	7.56
0.076666667	7.56
0.076944444	7.56
0.077222222	7.56
0.0775	7.56
0.077777778	7.56
0.078055556	7.56
0.078333333	7.56
0.078611111	7.56
0.078888889	7.56
0.079166667	7.56
0.079444444	7.56
0.079722222	7.56
0.08	7.56
0.080277778	7.56
0.080555556	7.56
0.080833333	7.56
0.081111111	7.56
0.081388889	7.56
0.081666667	7.56
0.081944444	7.56
0.082222222	7.56
0.0825	7.56
0.082777778	7.56
0.083055556	7.56
0.083333333	7.56
0.083611111	7.56
0.083888889	7.56
0.084166667	7.56
0.084444444	7.56
0.084722222	7.56
0.085	7.56
0.085277778	7.56
0.085555556	7.56
0.085833333	7.56
0.086111111	7.56
0.086388889	7.56
0.086666667	7.56
0.086944444	7.56
0.087222222	7.56
0.0875	7.56
0.087777778	7.56
0.088055556	7.56
0.088333333	7.56
0.088611111	7.56
0.088888889	7.56
0.089166667	7.56
0.089444444	7.56
0.089722222	7.56
0.09	7.56
0.090277778	7.56
0.090555556	7.56
0.090833333	7.56
0.091111111	7.56
0.091388889	7.56
0.091666667	7.56
0.091944444	7.56
0.092222222	7.56
0.0925	7.56
0.092777778	7.56
0.093055556	7.56
0.093333333	7.56
0.093611111	7.56
0.093888889	7.56
0.094166667	7.56
0.094444444	7.56
0.094722222	7.56
0.095	7.56
0.095277778	7.57
0.095555556	7.56
0.095833333	7.56
0.096111111	7.56
0.096388889	7.56
0.096666667	7.56
0.096944444	7.56
0.097222222	7.56
0.0975	7.56
0.097777778	7.56
0.098055556	7.56
0.098333333	7.56
0.098611111	7.56
0.098888889	7.57
0.099166667	7.56
0.099444444	7.57
0.099722222	7.56
0.1	7.56
0.100277778	7.56
0.100555556	7.56
0.100833333	7.57
0.101111111	7.56
0.101388889	7.57
0.101666667	7.56
0.101944444	7.57
0.102222222	7.56
0.1025	7.57
0.102777778	7.57
0.103055556	7.56
0.103333333	7.56
0.103611111	7.56
0.103888889	7.57
0.104166667	7.56
0.104444444	7.57
0.104722222	7.56
0.105	7.56
0.105277778	7.56
0.105555556	7.56
0.105833333	7.56
0.106111111	7.56
0.106388889	7.57
0.106666667	7.56
0.106944444	7.57
0.107222222	7.56
0.1075	7.56
0.107777778	7.56
0.108055556	7.56
0.108333333	7.56
0.108611111	7.56
0.108888889	7.56
0.109166667	7.56
0.109444444	7.57
0.109722222	7.56
0.11	7.57
0.110277778	7.56
0.110555556	7.56
0.110833333	7.56
0.111111111	7.56
0.111388889	7.56
0.111666667	7.57
0.111944444	7.56
0.112222222	7.56
0.1125	7.56
0.112777778	7.56
0.113055556	7.56
0.113333333	7.57
0.113611111	7.56
0.113888889	7.56
0.114166667	7.56
0.114444444	7.56
0.114722222	7.56
0.115	7.56
0.115277778	7.56
0.115555556	7.56
0.115833333	7.56
0.116111111	7.56
0.116388889	7.56
0.116666667	7.56
0.116944444	7.56
0.117222222	7.56
0.1175	7.56
0.117777778	7.56
0.118055556	7.56
0.118333333	7.56
0.118611111	7.56
0.118888889	7.56
0.119166667	7.56
0.119444444	7.56
0.119722222	7.56
0.12	7.56
0.120277778	7.56
0.120555556	7.56
0.120833333	7.57
0.121111111	7.56
0.121388889	7.57
0.121666667	7.56
0.121944444	7.57
0.122222222	7.56
0.1225	7.56
0.122777778	7.56
0.123055556	7.56
0.123333333	7.56
0.123611111	7.56
0.123888889	7.56
0.124166667	7.56
0.124444444	7.56
0.124722222	7.56
0.125	7.56
0.125277778	7.56
0.125555556	7.56
0.125833333	7.56
0.126111111	7.56
0.126388889	7.56
0.126666667	7.56
0.126944444	7.56
0.127222222	7.56
0.1275	7.56
0.127777778	7.57
0.128055556	7.56
0.128333333	7.56
0.128611111	7.56
0.128888889	7.56
0.129166667	7.56
0.129444444	7.57
0.129722222	7.56
0.13	7.56
0.130277778	7.56
0.130555556	7.56
0.130833333	7.56
0.131111111	7.56
0.131388889	7.57
0.131666667	7.56
0.131944444	7.57
0.132222222	7.56
0.1325	7.57
0.132777778	7.56
0.133055556	7.56
0.133333333	7.56
0.133611111	7.56
0.133888889	7.57
0.134166667	7.56
0.134444444	7.57
0.134722222	7.56
0.135	7.57
0.135277778	7.56
0.135555556	7.57
0.135833333	7.56
0.136111111	7.57
0.136388889	7.56
0.136666667	7.56
0.136944444	7.56
0.137222222	7.56
0.1375	7.56
0.137777778	7.56
0.138055556	7.57
0.138333333	7.56
0.138611111	7.57
0.138888889	7.56
0.139166667	7.57
0.139444444	7.56
0.139722222	7.57
0.14	7.56
0.140277778	7.57
0.140555556	7.56
0.140833333	7.57
0.141111111	7.56
0.141388889	7.57
0.141666667	7.56
0.141944444	7.57
0.142222222	7.56
0.1425	7.57
0.142777778	7.56
0.143055556	7.57
0.143333333	7.56
0.143611111	7.57
0.143888889	7.56
0.144166667	7.56
0.144444444	7.56
0.144722222	7.57
0.145	7.57
0.145277778	7.57
0.145555556	7.57
0.145833333	7.56
0.146111111	7.57
0.146388889	7.57
0.146666667	7.57
0.146944444	7.57
0.147222222	7.57
0.1475	7.57
0.147777778	7.57
0.148055556	7.57
0.148333333	7.57
0.148611111	7.57
0.148888889	7.57
0.149166667	7.57
0.149444444	7.57
0.149722222	7.57
0.15	7.57
0.150277778	7.57
0.150555556	7.57
0.150833333	7.56
0.151111111	7.57
0.151388889	7.57
0.151666667	7.57
0.151944444	7.57
0.152222222	7.57
0.1525	7.57
0.152777778	7.57
0.153055556	7.57
0.153333333	7.57
0.153611111	7.57
0.153888889	7.57
0.154166667	7.57
0.154444444	7.57
0.154722222	7.57
0.155	7.57
0.155277778	7.57
0.155555556	7.57
0.155833333	7.57
0.156111111	7.57
0.156388889	7.57
0.156666667	7.57
0.156944444	7.57
0.157222222	7.57
0.1575	7.57
0.157777778	7.56
0.158055556	7.57
0.158333333	7.56
0.158611111	7.57
0.158888889	7.56
0.159166667	7.57
0.159444444	7.56
0.159722222	7.57
0.16	7.56
0.160277778	7.57
0.160555556	7.57
0.160833333	7.57
0.161111111	7.56
0.161388889	7.57
0.161666667	7.57
0.161944444	7.57
0.162222222	7.57
0.1625	7.57
0.162777778	7.56
0.163055556	7.57
0.163333333	7.57
0.163611111	7.57
0.163888889	7.56
0.164166667	7.57
0.164444444	7.56
0.164722222	7.57
0.165	7.57
0.165277778	7.57
0.165555556	7.57
0.165833333	7.57
0.166111111	7.56
0.166388889	7.57
0.166666667	7.57
0.166944444	7.57
0.167222222	7.57
0.1675	7.57
0.167777778	7.57
0.168055556	7.57
0.168333333	7.57
0.168611111	7.57
0.168888889	7.57
0.169166667	7.57
0.169444444	7.57
0.169722222	7.57
0.17	7.57
0.170277778	7.57
0.170555556	7.57
0.170833333	7.57
0.171111111	7.57
0.171388889	7.57
0.171666667	7.57
0.171944444	7.57
0.172222222	7.57
0.1725	7.57
0.172777778	7.57
0.173055556	7.57
0.173333333	7.57
0.173611111	7.57
0.173888889	7.57
0.174166667	7.57
0.174444444	7.57
0.174722222	7.57
0.175	7.57
0.175277778	7.57
0.175555556	7.57
0.175833333	7.57
0.176111111	7.57
0.176388889	7.57
0.176666667	7.57
0.176944444	7.57
0.177222222	7.57
0.1775	7.57
0.177777778	7.57
0.178055556	7.57
0.178333333	7.57
0.178611111	7.57
0.178888889	7.57
0.179166667	7.57
0.179444444	7.57
0.179722222	7.57
0.18	7.57
0.180277778	7.57
0.180555556	7.57
0.180833333	7.57
0.181111111	7.57
0.181388889	7.57
0.181666667	7.57
0.181944444	7.57
0.182222222	7.57
0.1825	7.57
0.182777778	7.57
0.183055556	7.57
0.183333333	7.57
0.183611111	7.57
0.183888889	7.57
0.184166667	7.57
0.184444444	7.56
0.184722222	7.57
0.185	7.56
0.185277778	7.57
0.185555556	7.57
0.185833333	7.57
0.186111111	7.57
0.186388889	7.57
0.186666667	7.57
0.186944444	7.57
0.187222222	7.57
0.1875	7.57
0.187777778	7.57
0.188055556	7.57
0.188333333	7.57
0.188611111	7.57
0.188888889	7.57
0.189166667	7.57
0.189444444	7.57
0.189722222	7.57
0.19	7.57
0.190277778	7.57
0.190555556	7.57
0.190833333	7.57
0.191111111	7.57
0.191388889	7.57
0.191666667	7.57
0.191944444	7.57
0.192222222	7.57
0.1925	7.57
0.192777778	7.57
0.193055556	7.57
0.193333333	7.57
0.193611111	7.57
0.193888889	7.57
0.194166667	7.57
0.194444444	7.57
0.194722222	7.57
0.195	7.57
0.195277778	7.57
0.195555556	7.57
0.195833333	7.57
0.196111111	7.57
0.196388889	7.57
0.196666667	7.57
0.196944444	7.57
0.197222222	7.57
0.1975	7.57
0.197777778	7.57
0.198055556	7.57
0.198333333	7.57
0.198611111	7.57
0.198888889	7.57
0.199166667	7.57
0.199444444	7.57
0.199722222	7.57
0.2	7.57
0.200277778	7.57
0.200555556	7.57
0.200833333	7.57
0.201111111	7.57
0.201388889	7.57
0.201666667	7.57
0.201944444	7.57
0.202222222	7.57
0.2025	7.57
0.202777778	7.57
0.203055556	7.57
0.203333333	7.57
0.203611111	7.57
0.203888889	7.57
0.204166667	7.58
0.204444444	7.57
0.204722222	7.58
0.205	7.57
0.205277778	7.57
0.205555556	7.58
0.205833333	7.58
0.206111111	7.58
0.206388889	7.57
0.206666667	7.58
0.206944444	7.57
0.207222222	7.58
0.2075	7.57
0.207777778	7.58
0.208055556	7.57
0.208333333	7.57
0.208611111	7.57
0.208888889	7.58
0.209166667	7.58
0.209444444	7.57
0.209722222	7.58
0.21	7.57
0.210277778	7.58
0.210555556	7.57
0.210833333	7.58
0.211111111	7.57
0.211388889	7.58
0.211666667	7.57
0.211944444	7.57
0.212222222	7.57
0.2125	7.57
0.212777778	7.58
0.213055556	7.57
0.213333333	7.58
0.213611111	7.57
0.213888889	7.58
0.214166667	7.57
0.214444444	7.58
0.214722222	7.57
0.215	7.58
0.215277778	7.57
0.215555556	7.58
0.215833333	7.57
0.216111111	7.58
0.216388889	7.57
0.216666667	7.58
0.216944444	7.58
0.217222222	7.58
0.2175	7.58
0.217777778	7.58
0.218055556	7.58
0.218333333	7.58
0.218611111	7.58
0.218888889	7.58
0.219166667	7.58
0.219444444	7.58
0.219722222	7.58
0.22	7.58
0.220277778	7.58
0.220555556	7.58
0.220833333	7.58
0.221111111	7.58
0.221388889	7.58
0.221666667	7.58
0.221944444	7.58
0.222222222	7.58
0.2225	7.58
0.222777778	7.58
0.223055556	7.58
0.223333333	7.58
0.223611111	7.58
0.223888889	7.58
0.224166667	7.58
0.224444444	7.58
0.224722222	7.58
0.225	7.58
0.225277778	7.58
0.225555556	7.58
0.225833333	7.58
0.226111111	7.58
0.226388889	7.58
0.226666667	7.58
0.226944444	7.58
0.227222222	7.58
0.2275	7.58
0.227777778	7.58
0.228055556	7.58
0.228333333	7.58
0.228611111	7.58
0.228888889	7.58
0.229166667	7.57
0.229444444	7.58
0.229722222	7.58
0.23	7.58
0.230277778	7.58
0.230555556	7.58
0.230833333	7.58
0.231111111	7.58
0.231388889	7.58
0.231666667	7.58
0.231944444	7.58
0.232222222	7.58
0.2325	7.58
0.232777778	7.58
0.233055556	7.58
0.233333333	7.58
0.233611111	7.58
0.233888889	7.58
0.234166667	7.58
0.234444444	7.58
0.234722222	7.58
0.235	7.58
0.235277778	7.58
0.235555556	7.58
0.235833333	7.58
0.236111111	7.58
0.236388889	7.58
0.236666667	7.58
0.236944444	7.58
0.237222222	7.58
0.2375	7.58
0.237777778	7.58
0.238055556	7.58
0.238333333	7.58
0.238611111	7.58
0.238888889	7.58
0.239166667	7.58
0.239444444	7.58
0.239722222	7.58
0.24	7.58
0.240277778	7.58
0.240555556	7.58
0.240833333	7.58
0.241111111	7.58
0.241388889	7.58
0.241666667	7.58
0.241944444	7.58
0.242222222	7.58
0.2425	7.58
0.242777778	7.58
0.243055556	7.58
0.243333333	7.58
0.243611111	7.58
0.243888889	7.58
0.244166667	7.58
0.244444444	7.58
0.244722222	7.58
0.245	7.58
0.245277778	7.58
0.245555556	7.58
0.245833333	7.58
0.246111111	7.58
0.246388889	7.58
0.246666667	7.58
0.246944444	7.58
0.247222222	7.58
0.2475	7.58
0.247777778	7.58
0.248055556	7.58
0.248333333	7.58
0.248611111	7.58
0.248888889	7.58
0.249166667	7.58
0.249444444	7.58
0.249722222	7.58
0.25	7.58
0.250277778	7.58
0.250555556	7.58
0.250833333	7.58
0.251111111	7.58
0.251388889	7.58
0.251666667	7.58
0.251944444	7.58
0.252222222	7.58
0.2525	7.58
0.252777778	7.58
0.253055556	7.58
0.253333333	7.58
0.253611111	7.58
0.253888889	7.58
0.254166667	7.58
0.254444444	7.58
0.254722222	7.58
0.255	7.58
0.255277778	7.58
0.255555556	7.58
0.255833333	7.58
0.256111111	7.58
0.256388889	7.58
0.256666667	7.58
0.256944444	7.58
0.257222222	7.58
0.2575	7.58
0.257777778	7.58
0.258055556	7.58
0.258333333	7.58
0.258611111	7.58
0.258888889	7.58
0.259166667	7.58
0.259444444	7.58
0.259722222	7.58
0.26	7.58
0.260277778	7.58
0.260555556	7.58
0.260833333	7.58
0.261111111	7.58
0.261388889	7.58
0.261666667	7.58
0.261944444	7.58
0.262222222	7.58
0.2625	7.58
0.262777778	7.58
0.263055556	7.58
0.263333333	7.58
0.263611111	7.58
0.263888889	7.58
0.264166667	7.58
0.264444444	7.58
0.264722222	7.58
0.265	7.58
0.265277778	7.58
0.265555556	7.58
0.265833333	7.58
0.266111111	7.58
0.266388889	7.58
0.266666667	7.58
0.266944444	7.58
0.267222222	7.58
0.2675	7.58
0.267777778	7.58
0.268055556	7.58
0.268333333	7.59
0.268611111	7.58
0.268888889	7.59
0.269166667	7.58
0.269444444	7.58
0.269722222	7.58
0.27	7.58
0.270277778	7.58
0.270555556	7.58
0.270833333	7.58
0.271111111	7.58
0.271388889	7.59
0.271666667	7.58
0.271944444	7.59
0.272222222	7.58
0.2725	7.59
0.272777778	7.58
0.273055556	7.59
0.273333333	7.58
0.273611111	7.58
0.273888889	7.58
0.274166667	7.58
0.274444444	7.58
0.274722222	7.58
0.275	7.58
0.275277778	7.58
0.275555556	7.58
0.275833333	7.58
0.276111111	7.59
0.276388889	7.58
0.276666667	7.59
0.276944444	7.58
0.277222222	7.59
0.2775	7.58
0.277777778	7.59
0.278055556	7.58
0.278333333	7.59
0.278611111	7.58
0.278888889	7.59
0.279166667	7.58
0.279444444	7.58
0.279722222	7.58
0.28	7.58
0.280277778	7.59
0.280555556	7.58
0.280833333	7.59
0.281111111	7.58
0.281388889	7.59
0.281666667	7.58
0.281944444	7.58
0.282222222	7.59
0.2825	7.58
0.282777778	7.59
0.283055556	7.58
0.283333333	7.59
0.283611111	7.58
0.283888889	7.59
0.284166667	7.58
0.284444444	7.59
0.284722222	7.58
0.285	7.59
0.285277778	7.58
0.285555556	7.58
0.285833333	7.58
0.286111111	7.58
0.286388889	7.58
0.286666667	7.58
0.286944444	7.58
0.287222222	7.58
0.2875	7.59
0.287777778	7.58
0.288055556	7.59
0.288333333	7.58
0.288611111	7.59
0.288888889	7.58
0.289166667	7.59
0.289444444	7.58
0.289722222	7.59
0.29	7.58
0.290277778	7.59
0.290555556	7.58
0.290833333	7.59
0.291111111	7.58
0.291388889	7.59
0.291666667	7.58
0.291944444	7.59
0.292222222	7.59
0.2925	7.59
0.292777778	7.58
0.293055556	7.59
0.293333333	7.58
0.293611111	7.59
0.293888889	7.58
0.294166667	7.59
0.294444444	7.58
0.294722222	7.59
0.295	7.58
0.295277778	7.59
0.295555556	7.58
0.295833333	7.59
0.296111111	7.58
0.296388889	7.59
0.296666667	7.58
0.296944444	7.59
0.297222222	7.58
0.2975	7.59
0.297777778	7.58
0.298055556	7.59
0.298333333	7.58
0.298611111	7.59
0.298888889	7.58
0.299166667	7.59
0.299444444	7.58
0.299722222	7.59
0.3	7.59
0.300277778	7.59
0.300555556	7.58
0.300833333	7.58
0.301111111	7.58
0.301388889	7.58
0.301666667	7.59
0.301944444	7.58
0.302222222	7.59
0.3025	7.58
0.302777778	7.59
0.303055556	7.58
0.303333333	7.59
0.303611111	7.58
0.303888889	7.59
0.304166667	7.58
0.304444444	7.59
0.304722222	7.58
0.305	7.59
0.305277778	7.58
0.305555556	7.59
0.305833333	7.58
0.306111111	7.59
0.306388889	7.58
0.306666667	7.59
0.306944444	7.58
0.307222222	7.59
0.3075	7.58
0.307777778	7.59
0.308055556	7.59
0.308333333	7.59
0.308611111	7.59
0.308888889	7.59
0.309166667	7.59
0.309444444	7.59
0.309722222	7.59
0.31	7.59
0.310277778	7.59
0.310555556	7.59
0.310833333	7.59
0.311111111	7.59
0.311388889	7.59
0.311666667	7.59
0.311944444	7.59
0.312222222	7.59
0.3125	7.59
0.312777778	7.59
0.313055556	7.59
0.313333333	7.59
0.313611111	7.59
0.313888889	7.59
0.314166667	7.59
0.314444444	7.59
0.314722222	7.59
0.315	7.59
0.315277778	7.59
0.315555556	7.59
0.315833333	7.59
0.316111111	7.59
0.316388889	7.59
0.316666667	7.59
0.316944444	7.59
0.317222222	7.59
0.3175	7.59
0.317777778	7.59
0.318055556	7.59
0.318333333	7.59
0.318611111	7.59
0.318888889	7.59
0.319166667	7.59
0.319444444	7.59
0.319722222	7.59
0.32	7.59
0.320277778	7.59
0.320555556	7.59
0.320833333	7.59
0.321111111	7.59
0.321388889	7.59
0.321666667	7.59
0.321944444	7.59
0.322222222	7.59
0.3225	7.59
0.322777778	7.59
0.323055556	7.59
0.323333333	7.59
0.323611111	7.59
0.323888889	7.59
0.324166667	7.59
0.324444444	7.59
0.324722222	7.59
0.325	7.59
0.325277778	7.59
0.325555556	7.59
0.325833333	7.59
0.326111111	7.59
0.326388889	7.59
0.326666667	7.6
0.326944444	7.59
0.327222222	7.59
0.3275	7.59
0.327777778	7.59
0.328055556	7.59
0.328333333	7.59
0.328611111	7.59
0.328888889	7.59
0.329166667	7.59
0.329444444	7.59
0.329722222	7.59
0.33	7.59
0.330277778	7.59
0.330555556	7.59
0.330833333	7.59
0.331111111	7.59
0.331388889	7.59
0.331666667	7.59
0.331944444	7.59
0.332222222	7.59
0.3325	7.59
0.332777778	7.59
0.333055556	7.59
0.333333333	7.59
0.333611111	7.59
0.333888889	7.59
0.334166667	7.59
0.334444444	7.59
0.334722222	7.59
0.335	7.59
0.335277778	7.59
0.335555556	7.59
0.335833333	7.59
0.336111111	7.59
0.336388889	7.59
0.336666667	7.59
0.336944444	7.59
0.337222222	7.59
0.3375	7.6
0.337777778	7.59
0.338055556	7.59
0.338333333	7.59
0.338611111	7.59
0.338888889	7.59
0.339166667	7.59
0.339444444	7.59
0.339722222	7.59
0.34	7.59
0.340277778	7.59
0.340555556	7.59
0.340833333	7.59
0.341111111	7.6
0.341388889	7.59
0.341666667	7.6
0.341944444	7.59
0.342222222	7.6
0.3425	7.59
0.342777778	7.6
0.343055556	7.59
0.343333333	7.6
0.343611111	7.59
0.343888889	7.6
0.344166667	7.59
0.344444444	7.6
0.344722222	7.59
0.345	7.6
0.345277778	7.59
0.345555556	7.6
0.345833333	7.59
0.346111111	7.6
0.346388889	7.59
0.346666667	7.6
0.346944444	7.59
0.347222222	7.6
0.3475	7.59
0.347777778	7.6
0.348055556	7.59
0.348333333	7.59
0.348611111	7.6
0.348888889	7.59
0.349166667	7.6
0.349444444	7.59
0.349722222	7.6
0.35	7.59
0.350277778	7.6
0.350555556	7.59
0.350833333	7.6
0.351111111	7.59
0.351388889	7.6
0.351666667	7.59
0.351944444	7.6
0.352222222	7.59
0.3525	7.6
0.352777778	7.6
0.353055556	7.6
0.353333333	7.59
0.353611111	7.6
0.353888889	7.59
0.354166667	7.6
0.354444444	7.6
0.354722222	7.6
0.355	7.6
0.355277778	7.6
0.355555556	7.6
0.355833333	7.59
0.356111111	7.6
0.356388889	7.59
0.356666667	7.6
0.356944444	7.59
0.357222222	7.6
0.3575	7.6
0.357777778	7.6
0.358055556	7.6
0.358333333	7.6
0.358611111	7.6
0.358888889	7.59
0.359166667	7.6
0.359444444	7.59
0.359722222	7.6
0.36	7.6
0.360277778	7.6
0.360555556	7.6
0.360833333	7.6
0.361111111	7.6
0.361388889	7.6
0.361666667	7.6
0.361944444	7.6
0.362222222	7.6
0.3625	7.6
0.362777778	7.6
0.363055556	7.6
0.363333333	7.6
0.363611111	7.6
0.363888889	7.6
0.364166667	7.6
0.364444444	7.59
0.364722222	7.6
0.365	7.59
0.365277778	7.6
0.365555556	7.59
0.365833333	7.6
0.366111111	7.59
0.366388889	7.6
0.366666667	7.59
0.366944444	7.6
0.367222222	7.6
0.3675	7.59
0.367777778	7.6
0.368055556	7.59
0.368333333	7.59
0.368611111	7.59
0.368888889	7.59
0.369166667	7.59
0.369444444	7.59
0.369722222	7.58
0.37	7.58
0.370277778	7.58
0.370555556	7.58
0.370833333	7.58
0.371111111	7.57
0.371388889	7.57
0.371666667	7.57
0.371944444	7.57
0.372222222	7.57
0.3725	7.56
0.372777778	7.56
0.373055556	7.56
0.373333333	7.56
0.373611111	7.55
0.373888889	7.55
0.374166667	7.54
0.374444444	7.54
0.374722222	7.54
0.375	7.53
0.375277778	7.53
0.375555556	7.52
0.375833333	7.52
0.376111111	7.51
0.376388889	7.51
0.376666667	7.5
0.376944444	7.5
0.377222222	7.49
0.3775	7.49
0.377777778	7.49
0.378055556	7.48
0.378333333	7.48
0.378611111	7.47
0.378888889	7.47
0.379166667	7.47
0.379444444	7.47
0.379722222	7.46
0.38	7.46
0.380277778	7.45
0.380555556	7.45
0.380833333	7.45
0.381111111	7.44
0.381388889	7.44
0.381666667	7.44
0.381944444	7.44
0.382222222	7.43
0.3825	7.43
0.382777778	7.42
0.383055556	7.42
0.383333333	7.42
0.383611111	7.42
0.383888889	7.41
0.384166667	7.41
0.384444444	7.41
0.384722222	7.4
0.385	7.4
0.385277778	7.4
0.385555556	7.4
0.385833333	7.39
0.386111111	7.4
0.386388889	7.39
0.386666667	7.39
0.386944444	7.38
0.387222222	7.38
0.3875	7.38
0.387777778	7.38
0.388055556	7.38
0.388333333	7.37
0.388611111	7.37
0.388888889	7.37
0.389166667	7.37
0.389444444	7.36
0.389722222	7.36
0.39	7.36
0.390277778	7.36
0.390555556	7.35
0.390833333	7.35
0.391111111	7.35
0.391388889	7.35
0.391666667	7.35
0.391944444	7.34
0.392222222	7.35
0.3925	7.34
0.392777778	7.34
0.393055556	7.34
0.393333333	7.34
0.393611111	7.34
0.393888889	7.33
0.394166667	7.33
0.394444444	7.33
0.394722222	7.33
